Date,Open,High,Low,Close,Volume
10/17/2025,"177.75","181.59","173.95","178.15","43,421,488"
10/16/2025,"181.78","184.82","176.45","178.12","42,870,887"
10/15/2025,"181.66","184.35","176.02","179.62","37,372,129"
10/14/2025,"176.00","182.34","170.82","179.74","49,261,449"
10/13/2025,"178.68","179.22","173.45","177.21","41,332,441"
10/10/2025,"185.17","187.10","173.53","175.44","55,194,031"
10/09/2025,"183.58","187.62","179.95","185.47","45,050,246"
10/08/2025,"182.80","184.26","181.20","183.56","36,299,660"
10/07/2025,"180.31","186.18","179.42","182.17","58,179,262"
10/06/2025,"179.18","182.95","177.83","179.53","52,504,238"
10/03/2025,"186.40","186.84","170.77","173.07","105,533,398"
10/02/2025,"186.70","188.20","182.95","187.05","39,849,207"
10/01/2025,"181.32","186.28","179.50","184.95","45,717,301"
09/30/2025,"178.98","182.77","178.22","182.42","43,561,727"
09/29/2025,"179.64","181.48","177.16","178.86","38,413,754"
09/26/2025,"179.05","180.12","174.91","177.57","44,275,793"
09/25/2025,"175.80","184.32","174.29","179.12","72,321,195"
09/24/2025,"183.91","184.85","177.12","179.56","45,379,672"
09/23/2025,"182.51","185.75","177.01","182.55","62,354,832"
09/22/2025,"180.88","182.25","178.29","179.33","45,916,680"
09/19/2025,"177.07","184.42","176.71","182.39","109,129,906"
09/18/2025,"170.27","178.80","169.39","176.97","70,768,633"
09/17/2025,"169.02","169.68","161.27","168.33","69,255,508"
09/16/2025,"171.04","171.31","168.96","170.26","34,598,660"
09/15/2025,"169.60","171.80","167.41","171.21","45,396,121"
09/12/2025,"165.35","171.53","164.01","171.43","54,498,539"
09/11/2025,"167.24","167.46","163.22","164.36","42,025,500"
09/10/2025,"166.00","169.00","163.44","166.74","62,211,422"
09/09/2025,"157.25","162.75","156.37","162.36","61,359,527"
09/08/2025,"154.91","158.30","154.84","156.10","47,642,953"
09/05/2025,"157.82","158.97","148.04","153.11","81,855,906"
09/04/2025,"154.87","157.04","153.16","156.14","53,292,340"
09/03/2025,"158.00","161.15","152.71","154.90","66,052,297"
09/02/2025,"151.20","158.39","150.28","157.09","65,434,969"
08/29/2025,"156.98","158.42","153.00","156.71","45,270,500"
08/28/2025,"157.63","158.23","152.55","158.12","57,885,238"
08/27/2025,"162.32","162.40","155.98","156.72","76,380,555"
08/26/2025,"155.39","162.13","154.57","160.87","86,573,719"
08/25/2025,"156.10","158.59","149.37","157.17","86,879,820"
08/22/2025,"155.32","163.20","151.77","158.74","102,099,203"
08/21/2025,"157.17","157.97","153.81","156.18","94,678,641"
08/20/2025,"152.30","156.46","142.34","156.01","220,336,406"
08/19/2025,"171.36","172.30","156.90","157.75","137,922,703"
08/18/2025,"175.27","177.90","171.39","174.03","62,656,602"
08/15/2025,"179.73","180.00","173.38","177.17","60,288,738"
08/14/2025,"182.41","185.33","179.20","181.02","53,472,930"
08/13/2025,"189.00","189.46","183.59","184.37","53,610,031"
08/12/2025,"184.70","190.00","182.10","186.97","54,983,770"
08/11/2025,"186.47","187.18","181.92","182.68","56,125,633"
08/08/2025,"184.74","187.99","184.41","186.96","62,657,941"
08/07/2025,"181.01","184.48","178.17","182.20","77,829,188"
08/06/2025,"171.18","180.58","171.01","179.54","82,924,852"
08/05/2025,"171.81","176.33","169.22","173.27","130,917,508"
08/04/2025,"158.53","161.40","157.93","160.66","82,993,562"
08/01/2025,"155.05","158.19","151.06","154.27","61,286,992"
07/31/2025,"159.99","160.89","156.73","158.35","45,342,609"
07/30/2025,"157.37","159.38","156.56","158.61","40,261,680"
07/29/2025,"158.72","160.14","154.91","156.24","42,427,207"
07/28/2025,"159.88","160.28","153.04","157.88","63,886,941"
07/25/2025,"155.63","160.39","155.58","158.80","57,972,340"
07/24/2025,"153.98","155.63","152.58","154.86","38,925,754"
07/23/2025,"149.74","155.00","148.29","154.63","48,061,992"
07/22/2025,"150.85","151.79","145.06","149.07","49,880,762"
07/21/2025,"153.88","155.44","151.36","151.79","45,072,809"
07/18/2025,"154.86","154.92","151.90","153.52","45,771,633"
07/17/2025,"151.56","155.68","150.82","153.99","60,165,520"
07/16/2025,"149.30","151.51","147.67","150.91","57,636,992"
07/15/2025,"148.93","150.62","147.36","148.58","59,126,191"
07/14/2025,"142.72","149.58","142.22","149.15","81,774,438"
07/11/2025,"142.11","144.58","141.47","142.10","52,134,809"
07/10/2025,"143.31","145.16","139.53","142.50","64,383,871"
07/09/2025,"139.66","143.17","137.39","143.13","68,494,758"
07/08/2025,"138.78","139.86","135.79","139.71","59,834,820"
07/07/2025,"134.38","139.29","132.32","139.12","71,959,711"
